Sitio,Tipo,Transecto,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled,num_species,num_ind
FCAT-V2,V,1,63.75,91.25,9,89.875,0.01999430565864425,0.849,101,50-75,75-95,75-95,1.2078207557456533,1.2187382873335744,0.9916089324373841,1.7174261728340439,-0.8885079148925188,2,7
FCAT-V2,V,2,51.25,93.75,9,88.6875,0.028130077293723663,0.849,101,50-75,75-95,75-95,0.6535583454191944,1.3103716529062897,0.9419230667913647,1.7174261728340439,-0.8885079148925188,1,16
FCAT-V2,V,3,43.125,98.125,9,88.1875,0.039982372781554504,0.849,101,25-50,95-100,75-95,0.2932877787069963,1.470730042658541,0.9210027023088302,1.7174261728340439,-0.8885079148925188,2,13
FCAT-V2,V,4,62.5,90.625,9,87.6875,0.027873622002494585,0.849,101,50-75,75-95,75-95,1.1523945147130075,1.1958299459403956,0.9000823378262957,1.7174261728340439,-0.8885079148925188,4,9
FLL-B,B,1,48.125,96.25,14,89.125,0.02734023659132949,0.322,60,25-50,95-100,75-95,0.5149927428375798,1.4020050184790047,0.9602283857135824,-0.668493176261707,-1.2719692255303428,3,11
FLL-B,B,2,49.375,94.375,14,88.0625,0.028234736215444887,0.322,60,25-50,75-95,75-95,0.5704189838702257,1.3332799942994684,0.9157726111881965,-0.668493176261707,-1.2719692255303428,4,9
FLL-B,B,3,50,74.375,14,86.5,0.07729975771066479,0.322,60,50-75,50-75,75-95,0.5981321043865486,0.6002130697177472,0.8503964721802761,-0.668493176261707,-1.2719692255303428,3,5
FLL-B,B,4,56.875,75.625,14,82.125,0.11050130472694444,0.322,60,50-75,75-95,75-95,0.902976430066101,0.6460297525041048,0.6673432829580991,-0.668493176261707,-1.2719692255303428,2,9
FLL-C,C,1,10,50,14,87.875,0.047235313059885334,0.356,115,10-25,50-75,75-95,-1.1755076086581195,-0.2932122446162254,0.9079274745072461,-0.5145628956748844,-0.7575699063820424,3,34
FLL-C,C,2,15,57.5,14,73.0625,0.2874302415125995,0.356,115,10-25,50-75,50-75,-0.953802644527536,-0.018312147898080004,0.28816167671216086,-0.5145628956748844,-0.7575699063820424,4,29
FLL-C,C,3,33.125,66.25,14,74.1875,0.2441894155208574,0.356,115,25-50,50-75,50-75,-0.15012214955417075,0.302404631606423,0.3352324967978635,-0.5145628956748844,-0.7575699063820424,5,28
FLL-C,C,4,60,41.25,14,63.75,0.2844691934638766,0.356,115,50-75,25-50,50-75,1.0415420326477156,-0.6139290241207285,-0.10148011177504465,-0.5145628956748844,-0.7575699063820424,6,27
FLL-V,V,1,11.25,100,14,92.875,0.008927657578345625,0.461,275,10-25,95-100,75-95,-1.1200813676254737,1.5394550668380775,1.1171311193325912,-0.03918997033322613,0.7388644765948315,6,28
FLL-V,V,2,50,100,14,89.6875,0.028822443427170455,0.461,275,50-75,95-100,75-95,0.5981321043865486,1.5394550668380775,0.9837637957564337,-0.03918997033322613,0.7388644765948315,5,23
FLL-V,V,3,39.375,58.125,14,93.0625,0.005956630712178228,0.461,275,25-50,50-75,75-95,0.12700905560905865,0.004596193495098782,1.1249762560135417,-0.03918997033322613,0.7388644765948315,5,33
FLL-V,V,4,61.875,85.625,14,91.3125,0.02786472213693274,0.461,275,50-75,75-95,75-95,1.1246813941966844,1.0125632147949652,1.0517549803246709,-0.03918997033322613,0.7388644765948315,6,15
GP-C,C,1,68.75,20,11,34.5,1.0436963003545625,0.42,340,50-75,10-25,25-50,1.4295257198762368,-1.3928126314888072,-1.3253214340033141,-0.22481177927615947,1.3467909446791864,2,6
GP-C,C,2,63.75,36.25,11,63.6375,0.3157207698634268,0.42,340,50-75,25-50,50-75,1.2078207557456533,-0.7971957552661587,-0.1061871937836148,-0.22481177927615947,1.3467909446791864,3,15
GP-C,C,3,52.5,27.5,11,57.25,0.17958874756935456,0.42,340,50-75,25-50,50-75,0.7089845864518404,-1.1179125347706618,-0.37344485004799344,-0.22481177927615947,1.3467909446791864,3,17
GP-C,C,4,50.625,20,11,47.375,0.6545592209511665,0.42,340,50-75,10-25,25-50,0.6258452249028715,-1.3928126314888072,-0.7866220485780503,-0.22481177927615947,1.3467909446791864,1,16
GP-N,N,1,72.5,53.125,11,62.6875,0.30614291150009626,0.4,346,50-75,50-75,50-75,1.5958044429741745,-0.1786705376503315,-0.14593588630043053,-0.3153590031507609,1.402907234040819,3,9
GP-N,N,2,21.25,80.625,11,75.375,0.22803708704662146,0.4,346,10-25,75-95,75-95,-0.6766714393643066,0.8292964836495351,0.384918362443883,-0.3153590031507609,1.402907234040819,3,8
GP-N,N,3,58.75,55.625,11,73.5625,0.07952590847982056,0.4,346,50-75,50-75,50-75,0.9861157916150698,-0.08703717207761637,0.30908204119469534,-0.3153590031507609,1.402907234040819,3,16
GP-N,N,4,73.125,50,11,56.9375,0.5878549601561401,0.4,346,50-75,50-75,50-75,1.6235175634904975,-0.2932122446162254,-0.38652007784957754,-0.3153590031507609,1.402907234040819,1,12
JS-N,N,1,10.625,81.25,14,83.5625,0.06731488406881077,0.325,125,10-25,75-95,75-95,-1.1477944881417965,0.8522048250427139,0.7274893308453858,-0.6549110926805167,-0.6640427574459877,7,16
JS-N,N,2,8.75,76.875,14,83.25,0.10315654076467067,0.325,125,5-10,75-95,75-95,-1.2309338496907654,0.6918464352904623,0.7144141030438017,-0.6549110926805167,-0.6640427574459877,3,13
JS-N,N,3,2.5,82.5,14,87.625,0.09310795362100269,0.325,125,1-5,75-95,75-95,-1.508065054853995,0.8980215078290714,0.8974672922659788,-0.6549110926805167,-0.6640427574459877,4,26
JS-N,N,4,3.125,83.125,14,77.875,0.179114815211086,0.325,125,1-5,75-95,75-95,-1.4803519343376719,0.9209298492222502,0.48952018485655563,-0.6549110926805167,-0.6640427574459877,6,15
JZ-C,C,1,13.541666666666666,18.958333333333332,8,66.1875,0.2743637396669292,0.533,57,10-25,10-25,50-75,-1.0184665923989562,-1.4309932004774384,5.066650773111451e-4,0.2867800356153395,-1.300027370211159,2,18
JZ-C,C,2,31.666666666666668,6.041666666666666,8,62.8125,0.4040193104025341,0.533,57,25-50,5-10,50-75,-0.2147860974255909,-1.9044322559364668,-0.1407057951797969,0.2867800356153395,-1.300027370211159,3,17
JZ-C,C,3,24.791666666666664,13.541666666666666,8,24.9375,0.32990174637032993,0.533,57,10-25,10-25,10-25,-0.5196304231051434,-1.6295321592183214,-1.725423404731787,0.2867800356153395,-1.300027370211159,2,11
JZ-C,C,4,52.70833333333333,8.75,8,28.875,0.6965797085891144,0.533,57,50-75,5-10,25-50,0.7182222932906145,-1.8051627765660252,-1.5606755344318277,0.2867800356153395,-1.300027370211159,4,9
JZ-N,N,1,51.875,43.125,8,81.9375,0.11086268374690565,0.556,68,50-75,25-50,75-95,0.6812714659355175,-0.5452039999411921,0.6594981462771486,0.3909093430711314,-1.197147506381499,5,13
JZ-N,N,2,81.875,56.875,8,63.0625,0.22274111230048094,0.556,68,75-95,50-75,50-75,2.0115012507190184,-0.04122048929125879,-0.13024561293852963,0.3909093430711314,-1.197147506381499,3,8
JZ-N,N,3,83.75,42.5,8,64.8125,0.3032220862860362,0.556,68,75-95,25-50,50-75,2.0946406122679875,-0.5681123413343708,-0.057024337249658795,0.3909093430711314,-1.197147506381499,1,4
JZ-N,N,4,56.04166666666667,55.83333333333333,8,79.5,0.16046982166255438,0.556,68,50-75,50-75,75-95,0.8660256027110039,-0.07940105827989027,0.5575113694247928,0.3909093430711314,-1.197147506381499,1,10
JZJ-C,C,1,26.875,6.875,1,25,0.6042626360559896,0.333,278,25-50,5-10,25-50,-0.42725335471740017,-1.8738878007455617,-1.7228083591714702,-0.6186922031306761,0.7669226212756478,3,32
JZJ-C,C,2,25.625,15.625,1,18,0.539466090270223,0.333,278,25-50,10-25,10-25,-0.48267959575004604,-1.5531710212410585,-2.0156934619269533,-0.6186922031306761,0.7669226212756478,2,24
JZJ-C,C,3,55,26.875,1,19.6875,0.45127033445156345,0.333,278,50-75,25-50,10-25,0.8198370685171321,-1.1408208761638405,-1.9450872317983996,-0.6186922031306761,0.7669226212756478,3,24
JZJ-C,C,4,54.375,33.75,1,36.625,0.2911778232736026,0.333,278,50-75,25-50,25-50,0.7921239480008092,-0.8888291208388739,-1.2364098849525424,-0.6186922031306761,0.7669226212756478,1,19
LG-C,C,1,38.75,53.75,3,45.25,0.45162155398200676,0.392,405,25-50,50-75,25-50,0.0992959350927357,-0.1557621962571527,-0.875533597628822,-0.3515778927006015,1.9547174127635414,2,13
LG-C,C,2,50,46.25,3,47.4375,0.16353569738998142,0.392,405,50-75,25-50,25-50,0.5981321043865486,-0.4306622929752981,-0.7840070030177335,-0.3515778927006015,1.9547174127635414,3,12
LG-C,C,3,50,35,3,26.8125,0.5049548651301189,0.392,405,50-75,25-50,25-50,0.5981321043865486,-0.8430124380525162,-1.6469720379222825,-0.3515778927006015,1.9547174127635414,4,13
