Sitio,Transecto,num_ind,num_species,Tipo,tran_mean_veg,tran_mean_hoja,Pair,tran_mean_CC,tran_coef_var_CC,forest_cover_400,water_dist,veg_bins,hoja_bins,CC_bins,tran_mean_veg_scaled,tran_mean_hoja_scaled,tran_mean_CC_scaled,forest_cover_400_scaled,water_dist_scaled
LL-C,4,8,3,C,10,25.625,7,16.5625,0.5275646248270758,0.233,268,10-25,25-50,10-25,-0.9028671562045382,-0.882522268284394,-1.8450803929797968,-1.3206376876368007,0.6172170122731968
LL-N,1,13,1,N,16.458333333333332,27.708333333333336,7,57.25,0.4596437212826327,0.231,298,10-25,25-50,50-75,-0.6179299945916864,-0.7994188407693844,0.022854854561515293,-1.3401273679804941,0.8992565741728696
LL-N,2,16,1,N,43.75,19.375,7,49.75,0.53476089005437355,0.231,298,25-50,10-25,25-50,0.5861593012561713,-1.1318325508294225,-0.3214650067364224,-1.3401273679804941,0.8992565741728696
LL-N,3,17,1,N,13.125,60,7,64,0.43099941768739664,0.231,298,10-25,50-75,50-75,-0.7649943360692874,0.48868428571326195,0.33274272972965924,-1.3401273679804941,0.8992565741728696
LL-N,4,25,2,N,32.5,44.375,7,63.375,0.4348743426496191,0.231,298,25-50,25-50,50-75,0.08981714876926819,-0.13459142064930893,0.3040494079548311,-1.3401273679804941,0.8992565741728696
PM-C,1,20,5,C,3.125,25.625,2,41.625,0.5754597959889314,0.306,254,1-5,25-50,25-50,-1.20618736050209,-0.882522268284394,-0.6944781898091883,-0.6092643550919855,0.48559855005334956
PM-C,2,21,5,C,8.125,19.375,2,57.9375,0.09060632482966403,0.306,254,5-10,10-25,50-75,-0.9855908482856888,-1.1318325508294225,0.05441750851382625,-0.6092643550919855,0.48559855005334956
PM-C,3,17,4,C,3.125,36.875,2,42,0.4461242348891219,0.306,254,1-5,25-50,25-50,-1.20618736050209,-0.43376375970334297,-0.6772621967442914,-0.6092643550919855,0.48559855005334956
PM-C,4,23,2,C,5,38.125,2,25.875,0.4847957067971154,0.306,254,5-10,25-50,25-50,-1.1234636684209396,-0.3839017031943373,-1.4175498985348576,-0.6092643550919855,0.48559855005334956
PM-N,1,15,1,N,4.375,28.125,2,43.5,0.3117253246510487,0.298,289,1-5,25-50,25-50,-1.1510382324479898,-0.7827981552663826,-0.6083982244847038,-0.6872230764667598,0.8146447056029678
PM-N,2,15,3,N,11.25,61.25,2,72.4375,0.10458201949612948,0.298,289,10-25,50-75,50-75,-0.8477180281504378,0.5385463422222676,0.7201025736898392,-0.6872230764667598,0.8146447056029678
PM-N,3,19,2,N,4.375,58.75,2,68.1875,0.3512745815635367,0.298,289,1-5,50-75,50-75,-1.1510382324479898,0.4388222292042563,0.5249879856210078,-0.6872230764667598,0.8146447056029678
PM-N,4,12,2,N,19.375,40.625,2,60.125,0.3740740454651232,0.298,289,10-25,25-50,50-75,-0.48924869579878555,-0.28417759017632593,0.15484413472572475,-0.6872230764667598,0.8146447056029678
