Well,Concentration (Copies/無),Bd_Loads (Copies/無),Sample_ID
442,0,0,HJ 1822
443,0,0,HJ 1823
444,0,0,HJ 1824
445,0,0,HJ 1834
446,0,0,HJ 1836
447,0,0,HJ 1839
448,0,0,HJ 066
449,0,0,HJ 762
450,0,0,HJ 1837
451,0,0,HJ 1838
